CommitId,RefactoringType,RefactoringDetail,,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Package,Change Package,com.alibaba.dubbo.spring.boot.domain to com.alibaba.dubbo.spring.boot.bean,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Attribute Type,Change Attribute Type,registry : String to registry : RegistryConfig in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Attribute Type,Change Attribute Type,monitor : String to monitor : MonitorConfig in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Attribute Type,Change Attribute Type,protocol : String to protocol : ProtocolConfig in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Return Type,Change Return Type,String to RegistryConfig in method public getRegistry() : RegistryConfig in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Return Type,Change Return Type,String to MonitorConfig in method public getMonitor() : MonitorConfig in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Return Type,Change Return Type,String to ProtocolConfig in method public getProtocol() : ProtocolConfig in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Rename Method,Rename Method,public getServer() : boolean renamed to public isServer() : boolean in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Parameter Type,Change Parameter Type,registry : String to registry : RegistryConfig in method public setRegistry(registry RegistryConfig) : void in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Parameter Type,Change Parameter Type,monitor : String to monitor : MonitorConfig in method public setMonitor(monitor MonitorConfig) : void in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Parameter Type,Change Parameter Type,protocol : String to protocol : ProtocolConfig in method public setProtocol(protocol ProtocolConfig) : void in class com.alibaba.dubbo.spring.boot.DubboProperties,,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Change Return Type,Change Return Type,String to Map<String,ApplicationConfig> in method public getApplications() : Map<String,ApplicationConfig> in class com.alibaba.dubbo.spring.boot.DubboProperties
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Rename Method,Rename Method,public getGroup() : String renamed to public getApplications() : Map<String,ApplicationConfig> in class com.alibaba.dubbo.spring.boot.DubboProperties,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Rename Variable,Rename Variable,beans : Map<String,Object> to beanMap : Map<String,Object> in method public init() : void in class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Rename Variable,Rename Variable,version : String to application : String in method private initProviderBean(beanName String, bean Object) : void in class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Rename Variable,Rename Variable,group : String to module : String in method private initProviderBean(beanName String, bean Object) : void in class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Rename Variable,Rename Variable,registrys : String[] to registries : String[] in method private initProviderBean(beanName String, bean Object) : void in class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,
ab0ad88440fb45c823bc1c4359248b66d77ebcec,Extract Superclass,Extract Superclass,com.alibaba.dubbo.spring.boot.DubboCommonAutoConfiguration from classes [com.alibaba.dubbo.spring.boot.DubboConsumerAutoConfiguration, com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration],
3bdc07d5e07dae6bc903ffe1d85ef9d028680435,Extract Variable,Extract Variable,appname : String in method public dubboApplicationConfig(environment Environment) : ApplicationConfig from class com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,,
b01306f16a1876ea76abd8fd36c23fc2f9f2b30f,Extract Variable,Extract Variable,protocolConfig : ProtocolConfig in method private initProviderBean(beanName String, bean Object) : void from class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,
b01306f16a1876ea76abd8fd36c23fc2f9f2b30f,Rename Variable,Rename Variable,pcs : List<ProtocolConfig> to protocolConfigList : List<ProtocolConfig> in method private initProviderBean(beanName String, bean Object) : void in class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,
2e8bf9ea185ecd1a034af11f9e669a8e7e74ef86,Move Class,Move Class,com.alibaba.dubbo.spring.boot.thread.DubboServer moved to com.alibaba.dubbo.spring.boot.server.DubboServer,,
a33b6cb63ac29802d452a66d6bc721648f237e26,Change Package,Change Package,com.alibaba.boot.dubbo to com.alibaba.dubbo.spring.boot,,
a33b6cb63ac29802d452a66d6bc721648f237e26,Move And Rename Class,Move And Rename Class,com.alibaba.boot.dubbo.domain.SpringBootStarterDobboConstants moved and renamed to com.alibaba.dubbo.spring.boot.domain.DubboSpringBootStarterConstants,,
a33b6cb63ac29802d452a66d6bc721648f237e26,Extract Variable,Extract Variable,interfaces : Class<?>[] in method private initProviderBean(beanName String, bean Object) : void from class com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,
a33b6cb63ac29802d452a66d6bc721648f237e26,Rename Variable,Rename Variable,clazz : Class<?> to interfaceClass : Class<?> in method public getRuntime() : Map<String,Object> in class com.alibaba.dubbo.spring.boot.endpoint.DubboEndpoint,
a33b6cb63ac29802d452a66d6bc721648f237e26,Rename Variable,Rename Variable,clazz : Class<?> to interfaceClass : Class<?> in method public getRuntime() : Map<String,Object> in class com.alibaba.dubbo.spring.boot.endpoint.DubboEndpoint,
