file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/testcase/ClassIdBeanTest.java,com.alibaba.dubbo.spring.boot.testcase.ClassIdBeanTest,class,3,2,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,4,0,4,0,0,4,0,0,0,0,13
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/dubbo/spring/boot/Mock.java,com.alibaba.dubbo.spring.boot.Mock,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboAutoConfiguration,class,16,7,1,12,4,5,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,74,5,0,1,1,0,9,1,8,0,0,8,1,1,0,0,42
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/server/DubboServer.java,com.alibaba.dubbo.spring.boot.server.DubboServer,class,2,7,1,5,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,34,0,1,0,3,0,0,2,6,0,0,3,3,0,0,0,22
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProperties.java,com.alibaba.dubbo.spring.boot.DubboProperties,class,4,25,1,0,228,25,0,25,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,102,13,0,0,0,0,17,2,18,1,1,12,0,0,0,0,48
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/listener/ConsumerSubscribeListener.java,com.alibaba.dubbo.spring.boot.listener.ConsumerSubscribeListener,class,7,2,2,5,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,33,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,38
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboProviderAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboProviderAutoConfiguration,class,20,26,1,45,0,2,0,1,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,117,0,3,7,0,2,8,4,17,1,1,20,4,0,0,0,45
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/health/DubboHealthIndicator.java,com.alibaba.dubbo.spring.boot.health.DubboHealthIndicator,class,5,5,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,1,0,1,0,2,0,4,1,1,3,3,0,0,0,26
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/DubboConsumerAutoConfiguration.java,com.alibaba.dubbo.spring.boot.DubboConsumerAutoConfiguration,class,25,20,1,21,3,3,1,2,1,0,0,0,0,0,6,1,0,6,0,0,1,0,0,145,3,1,5,0,2,5,1,10,0,0,13,2,1,0,0,68
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/domain/DubboSpringBootStarterConstants.java,com.alibaba.dubbo.spring.boot.domain.DubboSpringBootStarterConstants,class,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,2,0,2,0,0,2,-1,0,0,0,16
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/dubbo/spring/boot/domain/ClassIdBean.java,com.alibaba.dubbo.spring.boot.domain.ClassIdBean,class,1,17,1,4,0,7,0,7,0,0,0,0,0,0,4,1,0,4,0,0,4,0,0,54,10,0,8,0,4,4,8,9,7,7,6,1,0,0,0,30
