file,class,method,variable,usage
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/test/java/com/alibaba/boot/dubbo/DubboProviderLauncher.java,com.alibaba.boot.dubbo.DubboProviderLauncher,main/1[java.lang.String[]],args,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,invoke/0,result,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,methodNames,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,classIdBean,7
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,interfaceClassCanonicalName,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,method,5
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,subscribedInterfaceSet,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,subscribedInterfaceList,3
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,publishedInterfaceSet,1
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,clazz,4
/home/natalia/Downloads/IME/trabalhoChoren/ck/target/../../dubbo-spring-boot-starter/src/main/java/com/alibaba/boot/dubbo/endpoint/DubboEndpoint.java,com.alibaba.boot.dubbo.endpoint.DubboEndpoint,getRuntime/0,runtimeMap,9
